Term,ProsperRating (Alpha),LoanOriginalAmount,Investors,LoanCreatingYear
36,B,15000,503,2009
36,B,7500,210,2009
36,B,5500,148,2009
36,B,9600,397,2009
36,B,4000,292,2009
36,B,11000,418,2009
36,B,2000,23,2009
36,B,13340,427,2009
36,B,4750,186,2009
36,C,10000,347,2009
36,C,1500,46,2009
36,C,1000,26,2009
36,C,2500,81,2009
36,C,1000,93,2009
36,C,2000,189,2009
36,C,2500,85,2009
36,C,3300,139,2009
36,C,1000,28,2009
36,C,1000,33,2009
36,C,4497,149,2009
36,C,1000,64,2009
36,C,3500,124,2009
36,C,1000,44,2009
36,C,5000,414,2009
36,C,3500,97,2009
36,C,1000,30,2009
36,C,2000,72,2009
36,C,4000,150,2009
36,C,2500,159,2009
36,C,3000,183,2009
36,C,5000,135,2009
36,C,3000,50,2009
36,C,1000,19,2009
36,C,2500,72,2009
36,C,25000,1024,2009
36,C,1500,58,2009
36,C,1600,35,2009
36,C,2000,180,2009
36,C,2000,72,2009
36,C,7000,249,2009
36,C,7000,348,2009
36,C,1000,35,2009
36,C,3000,248,2009
36,C,2000,63,2009
36,C,2200,64,2009
36,C,1000,30,2009
36,C,1000,72,2009
36,C,2000,27,2009
36,C,1000,25,2009
36,C,9000,423,2009
36,C,7000,467,2009
36,C,1000,36,2009
36,C,5000,154,2009
36,C,1000,27,2009
36,C,15000,555,2009
36,C,1000,46,2009
36,C,2500,126,2009
36,C,4500,270,2009
36,C,5200,233,2009
36,C,2000,61,2009
36,C,3000,186,2009
36,C,2500,85,2009
36,C,5500,167,2009
36,C,2000,52,2009
36,C,3000,88,2009
36,C,1000,49,2009
36,C,3000,116,2009
36,C,1000,26,2009
36,C,1000,61,2009
36,C,5000,172,2009
36,C,1000,40,2009
36,C,5000,222,2009
36,C,2000,72,2009
36,C,1300,36,2009
36,C,1475,73,2009
36,C,4500,265,2009
36,C,1300,29,2009
36,C,2500,107,2009
36,C,5000,165,2009
36,C,1000,49,2009
36,C,2200,167,2009
36,C,2000,63,2009
36,C,1000,37,2009
36,C,3800,195,2009
36,C,3000,116,2009
36,C,2900,54,2009
36,C,2500,80,2009
36,C,1300,8,2009
36,C,2000,62,2009
36,C,1190,61,2009
36,C,15000,622,2009
36,C,1000,83,2009
36,C,4600,157,2009
36,C,1600,41,2009
36,C,2600,65,2009
36,C,1000,18,2009
36,C,3000,79,2009
36,C,1500,32,2009
36,C,3800,107,2009
36,C,7000,387,2009
36,C,7000,274,2009
36,C,1000,40,2009
36,C,6000,186,2009
36,C,2500,136,2009
36,C,1000,17,2009
36,C,2000,91,2009
36,C,1315,74,2009
36,C,7300,558,2009
36,C,2500,79,2009
36,C,6000,196,2009
36,C,5000,243,2009
36,C,2000,28,2009
36,C,5500,179,2009
36,C,5000,125,2009
36,C,5000,169,2009
36,C,1000,86,2009
36,C,1000,62,2009
36,C,5000,149,2009
36,C,3000,117,2009
36,C,5000,212,2009
36,C,1000,28,2009
36,C,1500,40,2009
36,C,1000,34,2009
36,D,1000,29,2009
36,D,6000,264,2009
36,D,2500,129,2009
36,D,4000,244,2009
36,D,3000,150,2009
36,D,3000,157,2009
36,D,1000,23,2009
36,D,1000,40,2009
36,D,1000,47,2009
36,D,3500,162,2009
36,D,3000,131,2009
36,D,10000,337,2009
36,D,2500,85,2009
36,D,2500,128,2009
36,D,1500,79,2009
36,D,1700,14,2009
36,D,2000,119,2009
36,D,2000,57,2009
36,D,2000,106,2009
36,D,2995,143,2009
36,D,2500,58,2009
36,D,6000,135,2009
36,D,8000,73,2009
36,D,4000,218,2009
36,D,5200,221,2009
36,D,5000,214,2009
36,D,2000,93,2009
36,D,3000,143,2009
36,D,2000,79,2009
36,D,1000,37,2009
36,D,3000,102,2009
36,D,9000,240,2009
36,D,5000,198,2009
36,D,2800,66,2009
36,D,1500,79,2009
36,D,1000,41,2009
36,D,1500,49,2009
36,D,1500,122,2009
36,D,2400,86,2009
36,D,3000,55,2009
36,D,1000,19,2009
36,D,5000,187,2009
36,D,1000,44,2009
36,D,9000,354,2009
36,D,7000,210,2009
36,D,3500,135,2009
36,D,2000,65,2009
36,D,4300,154,2009
36,D,4000,168,2009
36,D,1080,9,2009
36,D,1000,28,2009
36,D,4000,182,2009
36,D,1000,21,2009
36,D,4000,238,2009
36,D,1000,15,2009
36,D,3000,111,2009
36,D,5000,154,2009
36,D,2000,91,2009
36,D,4000,185,2009
36,D,4000,187,2009
36,D,1500,39,2009
36,D,3000,157,2009
36,D,1000,34,2009
36,D,1500,23,2009
36,D,3500,152,2009
36,D,4000,120,2009
36,D,1000,76,2009
36,D,1000,64,2009
36,D,3500,151,2009
36,D,1500,46,2009
36,D,3000,87,2009
36,D,8000,341,2009
36,D,5000,201,2009
36,D,3400,106,2009
36,D,8000,285,2009
36,D,2500,21,2009
36,D,6300,207,2009
36,D,1000,5,2009
36,D,1000,16,2009
36,D,3000,82,2009
36,D,1000,17,2009
36,D,2000,18,2009
36,D,8500,67,2009
36,D,1500,66,2009
36,D,2000,62,2009
36,D,3000,139,2009
36,D,1650,34,2009
36,D,1000,11,2009
36,D,3100,145,2009
36,D,6500,170,2009
36,D,3500,106,2009
36,D,4500,157,2009
36,E,1000,5,2009
36,E,4000,81,2009
36,E,1000,37,2009
36,E,1000,13,2009
36,E,2700,50,2009
36,E,1000,14,2009
36,E,1000,27,2009
36,E,1200,27,2009
36,E,2500,23,2009
36,E,2000,44,2009
36,E,1200,37,2009
36,E,1000,90,2009
36,E,1000,28,2009
36,E,1500,26,2009
36,E,1500,26,2009
36,E,2000,28,2009
36,E,2000,29,2009
36,E,1000,2,2009
36,E,1000,72,2009
36,E,1500,6,2009
36,E,1450,27,2009
36,E,1000,37,2009
36,E,1500,31,2009
36,E,1000,15,2009
36,E,1500,28,2009
36,E,1000,49,2009
36,E,1300,59,2009
36,E,1000,76,2009
36,E,1000,23,2009
36,E,1500,82,2009
36,E,1500,33,2009
36,E,1100,94,2009
36,E,2000,59,2009
36,E,1000,58,2009
36,E,1500,73,2009
36,E,2000,87,2009
36,E,2999,102,2009
36,E,1650,1,2009
36,E,1200,38,2009
36,E,1750,85,2009
36,E,1450,25,2009
36,E,1000,65,2009
36,E,1000,23,2009
36,E,2000,40,2009
36,E,1000,24,2009
36,E,2100,33,2009
36,E,1000,35,2009
36,E,1200,23,2009
36,E,2000,38,2009
36,E,2000,12,2009
36,E,1000,21,2009
36,HR,1000,19,2009
36,HR,2500,59,2009
36,HR,1300,27,2009
36,HR,1750,1,2009
36,HR,2500,30,2009
36,HR,1700,30,2009
36,HR,4500,2,2009
36,HR,1000,19,2009
36,HR,2500,3,2009
36,HR,7000,24,2009
36,HR,2350,48,2009
36,HR,1200,30,2009
36,HR,7500,8,2009
36,HR,1500,41,2009
36,HR,2000,1,2009
36,HR,2500,5,2009
36,HR,1000,7,2009
36,HR,1000,16,2009
36,HR,1000,2,2009
36,HR,3000,47,2009
36,HR,6000,2,2009
36,HR,2999,52,2009
36,HR,1500,10,2009
36,HR,3000,62,2009
36,HR,2500,2,2009
36,HR,3700,12,2009
36,HR,1200,12,2009
36,HR,1900,36,2009
36,HR,1000,1,2009
36,HR,5400,34,2009
36,HR,1500,1,2009
36,HR,1250,19,2009
36,HR,2500,6,2009
36,HR,1200,17,2009
36,HR,1000,22,2009
36,HR,2500,1,2009
36,HR,4500,2,2009
36,HR,2500,1,2009
36,HR,1500,3,2009
36,HR,4000,4,2009
36,HR,1200,56,2009
36,HR,2500,4,2009
36,HR,1500,1,2009
36,HR,3148,8,2009
36,A,5000,255,2009
36,A,5000,158,2009
36,A,2200,111,2009
36,A,10000,356,2009
36,A,2000,93,2009
36,A,5000,196,2009
36,A,4000,137,2009
36,A,3000,127,2009
36,A,3500,257,2009
36,A,10280,350,2009
36,A,2000,48,2009
36,A,2300,133,2009
36,A,6300,120,2009
36,A,6000,228,2009
36,A,1000,71,2009
36,A,2000,150,2009
36,A,6000,180,2009
36,A,5000,84,2009
36,A,7499,419,2009
36,A,3400,171,2009
36,A,2000,120,2009
36,A,1000,49,2009
36,A,6000,164,2009
36,A,11000,375,2009
36,A,5000,205,2009
36,A,5500,189,2009
36,A,1200,73,2009
36,A,7900,318,2009
36,A,5000,252,2009
36,A,7500,256,2009
36,A,4500,195,2009
36,A,7000,199,2009
36,A,2000,69,2009
36,A,3000,94,2009
36,A,9500,307,2009
36,A,2500,139,2009
36,A,2000,18,2009
36,A,10000,570,2009
36,A,6500,264,2009
36,A,6200,232,2009
36,A,10000,410,2009
36,A,6000,214,2009
36,A,10300,324,2009
36,A,1500,76,2009
36,A,3900,22,2009
36,A,1500,78,2009
36,A,3000,55,2009
36,A,1000,35,2009
36,A,9750,165,2009
36,A,5029,171,2009
36,A,1500,60,2009
36,A,4000,159,2009
36,A,7650,216,2009
36,A,15000,551,2009
36,A,1700,96,2009
36,A,7500,246,2009
36,A,1000,36,2009
36,A,1000,26,2009
36,A,1400,35,2009
36,A,6000,207,2009
36,A,10600,281,2009
36,A,5000,199,2009
36,A,2500,105,2009
36,A,2630,134,2009
36,A,7499,253,2009
36,A,3000,164,2009
36,A,5000,306,2009
36,A,1000,70,2009
36,A,9000,276,2009
36,A,5000,181,2009
36,A,6500,201,2009
36,A,5250,136,2009
36,A,12500,496,2009
36,A,5000,323,2009
36,A,4999,175,2009
36,A,4500,103,2009
36,A,5000,163,2009
36,A,1800,60,2009
36,A,3000,207,2009
36,A,4000,145,2009
36,A,2000,157,2009
36,A,6500,309,2009
36,A,4200,176,2009
36,A,1500,37,2009
36,A,1600,45,2009
36,A,3000,165,2009
36,A,10000,400,2009
36,A,2000,35,2009
36,A,15000,585,2009
36,A,6000,186,2009
36,A,5000,167,2009
36,A,5400,151,2009
36,A,1100,112,2009
36,A,6000,261,2009
36,A,2500,121,2009
36,A,9500,201,2009
36,A,2300,45,2009
36,A,10000,335,2009
36,A,1500,9,2009
36,A,1000,34,2009
36,A,3000,89,2009
36,A,2500,112,2009
36,A,1500,56,2009
36,A,3700,58,2009
36,A,1000,16,2009
36,A,3500,130,2009
36,A,6000,232,2009
36,A,1500,91,2009
36,A,1000,24,2009
36,A,17500,592,2009
36,A,5000,229,2009
36,A,5000,242,2009
36,A,12000,95,2009
36,A,1000,64,2009
36,A,2900,122,2009
36,A,8000,356,2009
36,A,15000,545,2009
36,A,6000,168,2009
36,A,6000,223,2009
36,A,8000,332,2009
36,A,8000,278,2009
36,A,4000,90,2009
36,A,1500,50,2009
36,A,5000,153,2009
36,A,3200,150,2009
36,A,11000,513,2009
36,A,3125,128,2009
36,A,4500,228,2009
36,A,5000,104,2009
36,A,5000,176,2009
36,A,6500,229,2009
36,A,1700,53,2009
36,A,7000,412,2009
36,A,12000,443,2009
36,A,18000,614,2009
36,A,2000,103,2009
36,A,10000,401,2009
36,A,13500,802,2009
36,A,7000,99,2009
36,A,5000,233,2009
36,A,1500,83,2009
36,A,2000,122,2009
36,A,2500,56,2009
36,A,1500,35,2009
36,A,1000,88,2009
36,A,2500,107,2009
36,A,8000,335,2009
36,A,2475,96,2009
36,A,5000,211,2009
36,A,1000,47,2009
36,A,18000,652,2009
36,A,4000,154,2009
36,A,2500,112,2009
36,A,15000,452,2009
36,A,9000,371,2009
36,A,3000,96,2009
36,A,2300,93,2009
36,A,1000,48,2009
36,A,3000,179,2009
36,A,3500,165,2009
36,A,13000,530,2009
36,A,5000,155,2009
36,A,3000,57,2009
36,A,1500,107,2009
36,A,5500,170,2009
36,A,5300,90,2009
36,A,1000,28,2009
36,A,1500,42,2009
36,A,5000,224,2009
36,A,3100,176,2009
36,A,23000,863,2009
36,A,1000,79,2009
36,A,4500,188,2009
36,A,1000,35,2009
36,A,7000,135,2009
36,A,1000,69,2009
36,A,10000,345,2009
36,A,5000,147,2009
36,A,7475,234,2009
36,A,2000,91,2009
36,A,2500,159,2009
36,A,4000,136,2009
36,A,5000,188,2009
36,A,1500,104,2009
36,A,1000,42,2009
36,A,10000,334,2009
36,A,4999,201,2009
36,A,3200,96,2009
36,A,13180,135,2009
36,A,7000,172,2009
36,A,5000,150,2009
36,A,1000,87,2009
36,A,2500,159,2009
36,A,4500,205,2009
36,A,6000,205,2009
36,A,17500,583,2009
36,A,2000,12,2009
36,A,9500,377,2009
36,A,7000,180,2009
36,A,2000,58,2009
36,A,5000,195,2009
36,A,3000,144,2009
36,A,3000,86,2009
36,A,11000,364,2009
36,A,7500,294,2009
36,A,1000,48,2009
36,A,2300,119,2009
36,A,5000,176,2009
36,A,4900,176,2009
36,A,1000,46,2009
36,A,3500,74,2009
36,A,2500,77,2009
36,A,14000,392,2009
36,A,9000,330,2009
36,A,5500,170,2009
36,A,10000,298,2009
36,A,1100,30,2009
36,A,3750,105,2009
36,A,5000,57,2009
36,A,7000,482,2009
36,A,1100,74,2009
36,A,6000,262,2009
36,A,10000,290,2009
36,A,5000,320,2009
36,A,6000,208,2009
36,A,5000,207,2009
36,A,6500,313,2009
36,A,6000,215,2009
36,A,8500,357,2009
36,A,7000,232,2009
36,A,6500,248,2009
36,A,2500,125,2009
36,A,4000,142,2009
36,A,2000,55,2009
36,A,2000,27,2009
36,A,1000,59,2009
36,A,5000,197,2009
36,A,3000,96,2009
36,A,4500,144,2009
36,A,2000,122,2009
36,A,4200,184,2009
36,A,8000,261,2009
36,A,6700,283,2009
36,A,1000,35,2009
36,A,1500,42,2009
36,A,7200,238,2009
36,A,6000,188,2009
36,A,2000,55,2009
36,A,2500,122,2009
36,A,2250,107,2009
36,A,2150,62,2009
36,A,1450,57,2009
36,A,3000,103,2009
36,A,1000,59,2009
36,A,20000,1189,2009
36,A,3000,60,2009
36,A,1500,52,2009
36,A,5000,139,2009
36,A,3300,180,2009
36,A,2500,68,2009
36,A,1000,47,2009
36,A,1500,40,2009
36,A,4100,132,2009
36,A,4500,176,2009
36,A,2500,74,2009
36,A,14000,451,2009
36,A,2000,112,2009
36,A,7000,357,2009
36,A,2500,161,2009
36,A,2000,38,2009
36,A,2000,62,2009
36,A,2578,163,2009
36,A,7500,157,2009
36,A,5488,184,2009
36,A,2800,102,2009
36,A,1275,102,2009
36,A,5500,171,2009
36,A,1000,44,2009
36,A,8000,258,2009
36,A,2500,128,2009
36,A,1000,66,2009
36,A,8300,309,2009
36,A,9000,353,2009
36,A,14500,483,2009
36,A,1000,68,2009
36,A,6900,181,2009
36,A,3500,118,2009
36,A,2500,73,2009
36,A,2000,152,2009
36,A,7500,226,2009
36,A,3000,155,2009
36,A,3000,193,2009
36,A,1900,78,2009
36,A,3562,139,2009
36,A,1500,81,2009
36,A,5750,251,2009
36,A,5000,174,2009
36,A,5340,395,2009
36,A,3000,130,2009
36,A,2000,166,2009
36,A,2500,86,2009
36,A,3000,90,2009
36,A,1500,41,2009
36,A,6000,289,2009
36,A,7200,240,2009
36,A,2500,46,2009
36,A,4000,103,2009
36,A,6000,206,2009
36,A,5000,196,2009
36,A,3000,90,2009
36,A,10000,291,2009
36,A,4000,148,2009
36,A,10000,296,2009
36,A,7000,223,2009
36,A,6500,197,2009
36,A,10000,181,2009
36,A,11000,424,2009
36,A,5000,214,2009
36,A,3000,163,2009
36,A,15000,894,2009
36,A,3500,169,2009
36,A,2500,86,2009
36,A,5000,186,2009
36,A,1200,1,2009
36,AA,5000,205,2009
36,AA,6000,251,2009
36,AA,25000,782,2009
36,AA,1000,47,2009
36,AA,12500,465,2009
36,AA,10000,392,2009
36,AA,15000,353,2009
36,AA,1000,66,2009
36,AA,7500,319,2009
36,AA,22000,587,2009
36,AA,1500,93,2009
36,AA,9000,473,2009
36,AA,2700,115,2009
36,AA,1500,38,2009
36,AA,4000,141,2009
36,AA,4000,89,2009
36,AA,1500,29,2009
36,AA,9000,391,2009
36,AA,8000,427,2009
36,AA,5000,80,2009
36,AA,10000,434,2009
36,AA,4000,211,2009
36,AA,12000,458,2009
36,AA,25000,736,2009
36,AA,13000,529,2009
36,AA,15000,659,2009
36,AA,1000,41,2009
36,AA,6500,121,2009
36,AA,8000,347,2009
36,AA,6500,400,2009
36,AA,3000,129,2009
36,AA,20000,917,2009
36,AA,10000,296,2009
36,AA,15000,460,2009
36,AA,2000,130,2009
36,AA,5000,205,2009
36,AA,25000,818,2009
36,AA,10000,386,2009
36,AA,1000,77,2009
36,AA,6500,290,2009
36,AA,1500,61,2009
36,AA,2000,73,2009
36,AA,1000,58,2009
36,AA,12000,488,2009
36,AA,5000,88,2009
36,AA,25000,789,2009
36,AA,1000,39,2009
36,AA,5000,144,2009
36,AA,1500,122,2009
36,AA,1000,52,2009
36,AA,1000,38,2009
36,AA,6500,459,2009
36,AA,5000,244,2009
36,AA,7500,311,2009
36,AA,1500,106,2009
36,AA,6500,295,2009
36,AA,2500,96,2009
36,AA,9000,324,2009
36,AA,1000,65,2009
36,AA,25000,796,2009
36,AA,11000,314,2009
36,AA,6000,61,2009
36,AA,6000,216,2009
36,AA,6000,378,2009
36,AA,5000,291,2009
36,AA,1600,61,2009
36,AA,9000,381,2009
36,AA,4500,197,2009
36,AA,3100,133,2009
36,AA,9000,304,2009
36,AA,2000,142,2009
36,AA,1000,51,2009
36,AA,5000,190,2009
36,AA,2000,157,2009
36,AA,9000,143,2009
36,AA,1200,29,2009
36,AA,8500,216,2009
36,AA,15000,714,2009
36,AA,1000,58,2009
36,AA,2000,94,2009
36,AA,2500,80,2009
36,AA,2000,83,2009
36,AA,3900,152,2009
36,AA,2500,117,2009
36,AA,2100,36,2009
36,AA,3000,282,2009
36,AA,10000,416,2009
36,AA,2000,54,2009
36,AA,2000,90,2009
36,AA,1000,48,2009
36,AA,3000,94,2009
36,AA,5000,335,2009
36,AA,15000,594,2009
36,AA,3300,42,2009
36,AA,7000,307,2009
36,AA,25000,1035,2009
36,AA,5000,106,2009
36,AA,5000,182,2009
36,AA,6000,205,2009
36,AA,5500,186,2009
36,AA,15000,545,2009
36,AA,1500,99,2009
36,AA,6000,380,2009
36,AA,8000,363,2009
36,AA,11000,374,2009
36,AA,16300,263,2009
36,AA,1500,77,2009
36,AA,2000,68,2009
36,AA,13198,477,2009
36,AA,20000,663,2009
36,AA,1200,69,2009
36,AA,10000,206,2009
36,AA,14000,390,2009
36,AA,14000,461,2009
36,AA,1500,94,2009
36,AA,17000,547,2009
36,AA,3000,136,2009
36,AA,1000,49,2009
36,AA,10000,346,2009
36,AA,9225,138,2009
36,AA,12000,403,2009
36,AA,10000,390,2009
36,AA,5000,360,2009
36,AA,10000,425,2009
36,AA,1000,81,2009
36,AA,1500,66,2009
36,AA,10000,250,2009
36,AA,1800,71,2009
36,AA,2000,84,2009
36,AA,8000,337,2009
36,AA,9400,438,2009
36,AA,5000,113,2009
36,AA,3000,117,2009
36,AA,12000,508,2009
36,AA,20000,638,2009
36,AA,2000,128,2009
36,AA,15000,510,2009
36,AA,1000,32,2009
36,AA,1000,45,2009
36,AA,1500,85,2009
36,AA,10000,384,2009
36,AA,3000,86,2009
36,AA,20000,1011,2009
36,AA,4000,144,2009
36,AA,4000,157,2009
36,AA,9500,394,2009
36,AA,3000,110,2009
36,AA,11000,430,2009
36,AA,8200,350,2009
36,AA,2500,123,2009
36,AA,1500,52,2009
36,AA,19700,641,2009
36,AA,1500,53,2009
36,AA,1000,39,2009
36,AA,1000,65,2009
36,AA,1000,52,2009
36,AA,15000,498,2009
36,AA,5200,141,2009
36,AA,4500,174,2009
36,AA,3000,196,2009
36,AA,2535,168,2009
36,AA,5000,191,2009
36,AA,12500,529,2009
36,AA,5000,80,2009
36,AA,3000,128,2009
36,AA,1000,49,2009
36,AA,1000,94,2009
36,AA,2432,87,2009
36,AA,2500,74,2009
36,AA,20000,712,2009
36,AA,10000,466,2009
36,AA,17000,625,2009
36,AA,12000,436,2009
36,AA,1000,54,2009
36,AA,1000,37,2009
36,AA,1000,52,2009
36,AA,20000,697,2009
36,AA,21000,790,2009
36,AA,18000,619,2009
36,AA,15000,507,2009
36,AA,8000,290,2009
36,AA,10000,300,2009
36,AA,12000,459,2009
36,AA,3000,130,2009
36,AA,1200,7,2009
36,AA,10000,300,2009
36,AA,3300,117,2009
36,AA,18000,700,2009
36,AA,25000,709,2009
36,AA,7000,256,2009
36,AA,12000,439,2009
36,AA,1000,56,2009
36,AA,3000,188,2009
36,AA,1000,41,2009
36,AA,2000,73,2009
36,AA,15000,552,2009
36,AA,10000,414,2009
36,AA,2000,132,2009
36,AA,3000,146,2009
36,AA,5050,150,2009
36,AA,6000,307,2009
36,AA,14500,437,2009
36,AA,1000,41,2009
36,AA,3000,124,2009
36,AA,1000,42,2009
36,AA,2000,127,2009
36,AA,6600,200,2009
36,AA,1000,59,2009
36,AA,10000,334,2009
36,AA,1000,58,2009
36,B,15000,466,2009
36,B,6000,208,2009
36,B,4000,160,2009
36,B,5000,134,2009
36,B,6500,106,2009
36,B,3500,70,2009
36,B,5000,118,2009
36,B,7500,286,2009
36,B,7000,335,2009
36,B,3500,143,2009
36,B,4500,137,2009
36,B,5000,231,2009
36,B,4000,178,2009
36,B,5000,261,2009
36,B,7000,108,2009
36,B,5000,95,2009
36,B,3600,174,2009
36,B,5000,86,2009
36,B,5000,281,2009
36,B,7000,224,2009
36,B,11000,360,2009
36,B,2200,97,2009
36,B,3400,228,2009
36,B,2300,130,2009
36,B,12000,372,2009
36,B,5500,291,2009
36,B,12000,351,2009
36,B,1000,53,2009
36,B,5500,331,2009
36,B,5000,187,2009
36,B,4500,72,2009
36,B,3100,187,2009
36,B,2837,69,2009
36,B,2000,140,2009
36,B,3600,122,2009
36,B,8000,280,2009
36,B,5100,327,2009
36,B,5000,228,2009
